GATEIO.USDT_SWAP.BTC-USDT.FUNDING_RATE,3
BINANCE.USDT_SWAP.BTC-USDT.FUNDING_RATE,2
GATEIO.USDT_SWAP.BTC-USDT.DEPTH1,1
BINANCE.USDT_SWAP.BTC-USDT.DEPTH1,0
